'대여일자','사용자코드','성별','연령대코드','신규가입자수'
'2018-02-18','회원-내국인','F','70대~',1
'2018-02-18','회원-내국인','M','70대~',1
'2018-02-19','회원-내국인','F','~10대',11
'2018-02-19','회원-내국인','M','~10대',7
'2018-02-19','회원-내국인','F','20대',103
'2018-02-19','회원-내국인','M','20대',99
'2018-02-19','회원-내국인','F','30대',23
'2018-02-19','회원-내국인','M','30대',62
'2018-02-19','회원-내국인','F','40대',18
'2018-02-19','회원-내국인','M','40대',27
'2018-02-19','회원-내국인','F','50대',6
'2018-02-19','회원-내국인','M','50대',10
'2018-02-19','회원-내국인','F','60대',1
'2018-02-19','회원-내국인','M','60대',10
'2018-02-19','회원-내국인','F','70대~',2
'2018-02-19','회원-내국인','M','70대~',2
'2018-02-20','회원-내국인','F','~10대',9
'2018-02-20','회원-내국인','M','~10대',6
'2018-02-20','회원-내국인','F','20대',84
'2018-02-20','회원-내국인','M','20대',79
'2018-02-20','회원-내국인','F','30대',39
'2018-02-20','회원-내국인','M','30대',50
'2018-02-20','회원-내국인','F','40대',13
'2018-02-20','회원-내국인','M','40대',27
'2018-02-20','회원-내국인','F','50대',14
'2018-02-20','회원-내국인','M','50대',10
'2018-02-20','회원-내국인','F','60대',4
'2018-02-20','회원-내국인','M','60대',5
'2018-02-21','회원-내국인','F','~10대',7
'2018-02-21','회원-내국인','M','~10대',5
'2018-02-21','회원-내국인','F','20대',78
'2018-02-21','회원-내국인','M','20대',67
'2018-02-21','회원-내국인','F','30대',25
'2018-02-21','회원-내국인','M','30대',25
'2018-02-21','회원-내국인','F','40대',17
'2018-02-21','회원-내국인','M','40대',29
'2018-02-21','회원-내국인','F','50대',8
'2018-02-21','회원-내국인','M','50대',9
'2018-02-21','회원-내국인','F','60대',2
'2018-02-21','회원-내국인','M','60대',6
'2018-02-21','회원-내국인','F','70대~',2
'2018-02-22','회원-내국인','F','~10대',8
'2018-02-22','회원-내국인','M','~10대',5
'2018-02-22','회원-내국인','F','20대',66
'2018-02-22','회원-내국인','M','20대',63
'2018-02-22','회원-내국인','F','30대',17
'2018-02-22','회원-내국인','M','30대',21
'2018-02-22','회원-내국인','F','40대',13
'2018-02-22','회원-내국인','M','40대',20
'2018-02-22','회원-내국인','F','50대',5
'2018-02-22','회원-내국인','M','50대',15
'2018-02-22','회원-내국인','F','60대',2
'2018-02-22','회원-내국인','M','60대',2
'2018-02-22','회원-내국인','F','70대~',1
'2018-02-22','회원-내국인','M','70대~',1
'2018-02-23','회원-내국인','F','~10대',5
'2018-02-23','회원-내국인','M','~10대',2
'2018-02-23','회원-내국인','F','20대',59
'2018-02-23','회원-내국인','M','20대',62
'2018-02-23','회원-내국인','F','30대',21
'2018-02-23','회원-내국인','M','30대',29
'2018-02-23','회원-내국인','F','40대',7
'2018-02-23','회원-내국인','M','40대',16
'2018-02-23','회원-내국인','F','50대',9
'2018-02-23','회원-내국인','M','50대',13
'2018-02-23','회원-내국인','F','60대',2
'2018-02-23','회원-내국인','F','70대~',1
'2018-02-24','회원-내국인','F','~10대',11
'2018-02-24','회원-내국인','M','~10대',9
'2018-02-24','회원-내국인','F','20대',109
'2018-02-24','회원-내국인','M','20대',100
'2018-02-24','회원-내국인','F','30대',43
'2018-02-24','회원-내국인','M','30대',41
'2018-02-24','회원-내국인','F','40대',19
'2018-02-24','회원-내국인','M','40대',29
'2018-02-24','회원-내국인','F','50대',9
'2018-02-24','회원-내국인','M','50대',18
'2018-02-24','회원-내국인','F','60대',2
'2018-02-24','회원-내국인','M','60대',3
'2018-02-25','회원-내국인','F','~10대',8
'2018-02-25','회원-내국인','M','~10대',15
'2018-02-25','회원-내국인','F','20대',158
'2018-02-25','회원-내국인','M','20대',140
'2018-02-25','회원-내국인','F','30대',38
'2018-02-25','회원-내국인','M','30대',83
'2018-02-25','회원-내국인','F','40대',30
'2018-02-25','회원-내국인','M','40대',60
'2018-02-25','회원-내국인','F','50대',14
'2018-02-25','회원-내국인','M','50대',14
'2018-02-25','회원-내국인','F','60대',1
'2018-02-25','회원-내국인','M','60대',2
'2018-02-26','회원-내국인','F','~10대',27
'2018-02-26','회원-내국인','M','~10대',11
'2018-02-26','회원-내국인','F','20대',149
'2018-02-26','회원-내국인','M','20대',138
'2018-02-26','회원-내국인','F','30대',48
'2018-02-26','회원-내국인','M','30대',69
'2018-02-26','회원-내국인','F','40대',28
'2018-02-26','회원-내국인','M','40대',37
'2018-02-26','회원-내국인','F','50대',9
'2018-02-26','회원-내국인','M','50대',12
'2018-02-26','회원-내국인','F','60대',2
'2018-02-26','회원-내국인','M','60대',6
'2018-02-26','회원-내국인','M','70대~',2
'2018-02-27','회원-내국인','F','~10대',10
'2018-02-27','회원-내국인','M','~10대',10
'2018-02-27','회원-내국인','F','20대',84
'2018-02-27','회원-내국인','M','20대',94
'2018-02-27','회원-내국인','F','30대',36
'2018-02-27','회원-내국인','M','30대',51
'2018-02-27','회원-내국인','F','40대',16
'2018-02-27','회원-내국인','M','40대',35
'2018-02-27','회원-내국인','F','50대',6
'2018-02-27','회원-내국인','M','50대',18
'2018-02-27','회원-내국인','F','60대',5
'2018-02-27','회원-내국인','M','60대',3
'2018-02-27','회원-내국인','M','70대~',1
'2018-02-28','회원-내국인','F','~10대',8
'2018-02-28','회원-내국인','M','~10대',6
'2018-02-28','회원-내국인','F','20대',49
'2018-02-28','회원-내국인','M','20대',46
'2018-02-28','회원-내국인','F','30대',16
'2018-02-28','회원-내국인','M','30대',23
'2018-02-28','회원-내국인','F','40대',9
'2018-02-28','회원-내국인','M','40대',28
'2018-02-28','회원-내국인','F','50대',10
'2018-02-28','회원-내국인','M','50대',13
'2018-02-28','회원-내국인','F','60대',2
'2018-02-28','회원-내국인','M','60대',3
'2018-03-01','회원-내국인','F','~10대',11
'2018-03-01','회원-내국인','M','~10대',7
'2018-03-01','회원-내국인','F','20대',109
'2018-03-01','회원-내국인','M','20대',100
'2018-03-01','회원-내국인','F','30대',41
'2018-03-01','회원-내국인','M','30대',61
'2018-03-01','회원-내국인','F','40대',20
'2018-03-01','회원-내국인','M','40대',40
'2018-03-01','회원-내국인','F','50대',12
'2018-03-01','회원-내국인','M','50대',12
'2018-03-01','회원-내국인','F','60대',1
'2018-03-01','회원-내국인','M','60대',4
'2018-03-01','회원-내국인','F','70대~',1
'2018-03-01','회원-내국인','M','70대~',1
'2018-03-02','회원-내국인','F','~10대',4
'2018-03-02','회원-내국인','M','~10대',9
'2018-03-02','회원-내국인','F','20대',110
'2018-03-02','회원-내국인','M','20대',112
'2018-03-02','회원-내국인','F','30대',52
'2018-03-02','회원-내국인','M','30대',49
'2018-03-02','회원-내국인','F','40대',17
'2018-03-02','회원-내국인','M','40대',35
'2018-03-02','회원-내국인','F','50대',11
'2018-03-02','회원-내국인','M','50대',18
'2018-03-02','회원-내국인','F','60대',2
'2018-03-02','회원-내국인','M','60대',2
'2018-03-02','회원-내국인','M','70대~',1
'2018-03-03','회원-내국인','F','~10대',54
'2018-03-03','회원-내국인','M','~10대',24
'2018-03-03','회원-내국인','F','20대',538
'2018-03-03','회원-내국인','M','20대',430
'2018-03-03','회원-내국인','F','30대',149
'2018-03-03','회원-내국인','M','30대',190
'2018-03-03','회원-내국인','F','40대',81
'2018-03-03','회원-내국인','M','40대',110
'2018-03-03','회원-내국인','F','50대',27
'2018-03-03','회원-내국인','M','50대',29
'2018-03-03','회원-내국인','F','60대',5
'2018-03-03','회원-내국인','M','60대',6
'2018-03-03','회원-내국인','F','70대~',5
'2018-03-03','회원-내국인','M','70대~',1
'2018-03-04','회원-내국인','F','~10대',20
'2018-03-04','회원-내국인','M','~10대',16
'2018-03-04','회원-내국인','F','20대',185
'2018-03-04','회원-내국인','M','20대',112
'2018-03-04','회원-내국인','F','30대',63
'2018-03-04','회원-내국인','M','30대',97
'2018-03-04','회원-내국인','F','40대',59
'2018-03-04','회원-내국인','M','40대',127
'2018-03-04','회원-내국인','F','50대',29
'2018-03-04','회원-내국인','M','50대',79
'2018-03-04','회원-내국인','F','60대',8
'2018-03-04','회원-내국인','M','60대',19
'2018-03-04','회원-내국인','F','70대~',2
'2018-03-04','회원-내국인','M','70대~',2
'2018-03-05','회원-내국인','F','~10대',12
'2018-03-05','회원-내국인','M','~10대',8
'2018-03-05','회원-내국인','F','20대',248
'2018-03-05','회원-내국인','M','20대',169
'2018-03-05','회원-내국인','F','30대',75
'2018-03-05','회원-내국인','M','30대',68
'2018-03-05','회원-내국인','F','40대',36
'2018-03-05','회원-내국인','M','40대',40
'2018-03-05','회원-내국인','F','50대',10
'2018-03-05','회원-내국인','M','50대',25
'2018-03-05','회원-내국인','F','60대',5
'2018-03-05','회원-내국인','M','60대',9
'2018-03-05','회원-내국인','F','70대~',1
'2018-03-06','회원-내국인','F','~10대',14
'2018-03-06','회원-내국인','M','~10대',8
'2018-03-06','회원-내국인','F','20대',262
'2018-03-06','회원-내국인','M','20대',162
'2018-03-06','회원-내국인','F','30대',69
'2018-03-06','회원-내국인','M','30대',85
'2018-03-06','회원-내국인','F','40대',25
'2018-03-06','회원-내국인','M','40대',66
'2018-03-06','회원-내국인','F','50대',16
'2018-03-06','회원-내국인','M','50대',31
'2018-03-06','회원-내국인','F','60대',2
'2018-03-06','회원-내국인','M','60대',5
'2018-03-06','회원-내국인','F','70대~',1
'2018-03-06','회원-내국인','M','70대~',3
'2018-03-07','회원-내국인','F','~10대',9
'2018-03-07','회원-내국인','M','~10대',5
'2018-03-07','회원-내국인','F','20대',159
'2018-03-07','회원-내국인','M','20대',122
'2018-03-07','회원-내국인','F','30대',64
'2018-03-07','회원-내국인','M','30대',72
'2018-03-07','회원-내국인','F','40대',41
'2018-03-07','회원-내국인','M','40대',51
'2018-03-07','회원-내국인','F','50대',20
'2018-03-07','회원-내국인','M','50대',26
'2018-03-07','회원-내국인','M','60대',7
'2018-03-08','회원-내국인','F','~10대',7
'2018-03-08','회원-내국인','M','~10대',11
'2018-03-08','회원-내국인','F','20대',136
'2018-03-08','회원-내국인','M','20대',96
'2018-03-08','회원-내국인','F','30대',54
'2018-03-08','회원-내국인','M','30대',81
'2018-03-08','회원-내국인','F','40대',29
'2018-03-08','회원-내국인','M','40대',42
'2018-03-08','회원-내국인','F','50대',6
'2018-03-08','회원-내국인','M','50대',28
'2018-03-08','회원-내국인','F','60대',1
'2018-03-08','회원-내국인','M','60대',1
'2018-03-08','회원-내국인','F','70대~',1
'2018-03-09','회원-내국인','F','~10대',11
'2018-03-09','회원-내국인','M','~10대',6
'2018-03-09','회원-내국인','F','20대',164
'2018-03-09','회원-내국인','M','20대',144
'2018-03-09','회원-내국인','F','30대',66
'2018-03-09','회원-내국인','M','30대',68
'2018-03-09','회원-내국인','F','40대',28
'2018-03-09','회원-내국인','M','40대',59
'2018-03-09','회원-내국인','F','50대',21
'2018-03-09','회원-내국인','M','50대',19
'2018-03-09','회원-내국인','F','60대',2
'2018-03-09','회원-내국인','M','60대',8
'2018-03-09','회원-내국인','F','70대~',1
'2018-03-09','회원-내국인','M','70대~',1
'2018-03-10','회원-내국인','F','~10대',26
'2018-03-10','회원-내국인','M','~10대',18
'2018-03-10','회원-내국인','F','20대',312
'2018-03-10','회원-내국인','M','20대',239
'2018-03-10','회원-내국인','F','30대',104
'2018-03-10','회원-내국인','M','30대',118
'2018-03-10','회원-내국인','F','40대',56
'2018-03-10','회원-내국인','M','40대',77
'2018-03-10','회원-내국인','F','50대',30
'2018-03-10','회원-내국인','M','50대',33
'2018-03-10','회원-내국인','F','60대',5
'2018-03-10','회원-내국인','M','60대',4
'2018-03-10','회원-내국인','F','70대~',2
'2018-03-10','회원-내국인','M','70대~',2
'2018-03-11','회원-내국인','F','~10대',38
'2018-03-11','회원-내국인','M','~10대',28
'2018-03-11','회원-내국인','F','20대',450
'2018-03-11','회원-내국인','M','20대',410
'2018-03-11','회원-내국인','F','30대',173
'2018-03-11','회원-내국인','M','30대',218
'2018-03-11','회원-내국인','F','40대',83
'2018-03-11','회원-내국인','M','40대',123
'2018-03-11','회원-내국인','F','50대',32
'2018-03-11','회원-내국인','M','50대',36
'2018-03-11','회원-내국인','F','60대',10
'2018-03-11','회원-내국인','M','60대',11
'2018-03-11','회원-내국인','F','70대~',4
'2018-03-11','회원-내국인','M','70대~',1
'2018-03-12','회원-내국인','F','~10대',13
'2018-03-12','회원-내국인','M','~10대',8
'2018-03-12','회원-내국인','F','20대',257
'2018-03-12','회원-내국인','M','20대',205
'2018-03-12','회원-내국인','F','30대',75
'2018-03-12','회원-내국인','M','30대',97
'2018-03-12','회원-내국인','F','40대',33
'2018-03-12','회원-내국인','M','40대',57
'2018-03-12','회원-내국인','F','50대',19
'2018-03-12','회원-내국인','M','50대',34
'2018-03-12','회원-내국인','F','60대',7
'2018-03-12','회원-내국인','M','60대',5
'2018-03-12','회원-내국인','F','70대~',1
'2018-03-12','회원-내국인','M','70대~',1
'2018-03-13','회원-내국인','F','~10대',19
'2018-03-13','회원-내국인','M','~10대',14
'2018-03-13','회원-내국인','F','20대',396
'2018-03-13','회원-내국인','M','20대',269
'2018-03-13','회원-내국인','F','30대',117
'2018-03-13','회원-내국인','M','30대',142
'2018-03-13','회원-내국인','F','40대',42
'2018-03-13','회원-내국인','M','40대',77
'2018-03-13','회원-내국인','F','50대',19
'2018-03-13','회원-내국인','M','50대',31
'2018-03-13','회원-내국인','F','60대',5
'2018-03-13','회원-내국인','M','60대',9
'2018-03-13','회원-내국인','F','70대~',2
'2018-03-13','회원-내국인','M','70대~',4
'2018-03-14','회원-내국인','F','~10대',42
'2018-03-14','회원-내국인','M','~10대',23
'2018-03-14','회원-내국인','F','20대',676
'2018-03-14','회원-내국인','M','20대',445
'2018-03-14','회원-내국인','F','30대',174
'2018-03-14','회원-내국인','M','30대',185
'2018-03-14','회원-내국인','F','40대',74
'2018-03-14','회원-내국인','M','40대',92
'2018-03-14','회원-내국인','F','50대',21
'2018-03-14','회원-내국인','M','50대',40
'2018-03-14','회원-내국인','F','60대',4
'2018-03-14','회원-내국인','M','60대',11
'2018-03-14','회원-내국인','F','70대~',3
'2018-03-14','회원-내국인','M','70대~',3
'2018-03-15','회원-내국인','F','~10대',10
'2018-03-15','회원-내국인','M','~10대',8
'2018-03-15','회원-내국인','F','20대',156
'2018-03-15','회원-내국인','M','20대',131
'2018-03-15','회원-내국인','F','30대',55
'2018-03-15','회원-내국인','M','30대',61
'2018-03-15','회원-내국인','F','40대',34
'2018-03-15','회원-내국인','M','40대',43
'2018-03-15','회원-내국인','F','50대',11
'2018-03-15','회원-내국인','M','50대',16
'2018-03-15','회원-내국인','F','60대',5
'2018-03-15','회원-내국인','M','60대',6
'2018-03-15','회원-내국인','F','70대~',1
'2018-03-15','회원-내국인','M','70대~',1
'2018-03-16','회원-내국인','F','~10대',30
'2018-03-16','회원-내국인','M','~10대',15
'2018-03-16','회원-내국인','F','20대',388
'2018-03-16','회원-내국인','M','20대',266
'2018-03-16','회원-내국인','F','30대',119
'2018-03-16','회원-내국인','M','30대',133
'2018-03-16','회원-내국인','F','40대',46
'2018-03-16','회원-내국인','M','40대',75
'2018-03-16','회원-내국인','F','50대',14
'2018-03-16','회원-내국인','M','50대',48
'2018-03-16','회원-내국인','F','60대',4
'2018-03-16','회원-내국인','M','60대',5
'2018-03-16','회원-내국인','F','70대~',1
'2018-03-16','회원-내국인','M','70대~',2
'2018-03-17','회원-내국인','F','~10대',55
'2018-03-17','회원-내국인','M','~10대',32
'2018-03-17','회원-내국인','F','20대',686
'2018-03-17','회원-내국인','M','20대',491
'2018-03-17','회원-내국인','F','30대',190
'2018-03-17','회원-내국인','M','30대',232
'2018-03-17','회원-내국인','F','40대',117
'2018-03-17','회원-내국인','M','40대',151
'2018-03-17','회원-내국인','F','50대',46
'2018-03-17','회원-내국인','M','50대',56
'2018-03-17','회원-내국인','F','60대',8
'2018-03-17','회원-내국인','M','60대',16
'2018-03-17','회원-내국인','F','70대~',3
'2018-03-17','회원-내국인','M','70대~',2
'2018-03-18','회원-내국인','F','~10대',24
'2018-03-18','회원-내국인','M','~10대',27
'2018-03-18','회원-내국인','F','20대',332
'2018-03-18','회원-내국인','M','20대',280
'2018-03-18','회원-내국인','F','30대',142
'2018-03-18','회원-내국인','M','30대',148
'2018-03-18','회원-내국인','F','40대',85
'2018-03-18','회원-내국인','M','40대',116
'2018-03-18','회원-내국인','F','50대',23
'2018-03-18','회원-내국인','M','50대',36
'2018-03-18','회원-내국인','F','60대',2
'2018-03-18','회원-내국인','M','60대',12
'2018-03-18','회원-내국인','F','70대~',3
'2018-03-18','회원-내국인','M','70대~',3
'2018-03-19','회원-내국인','F','~10대',8
'2018-03-19','회원-내국인','M','~10대',4
'2018-03-19','회원-내국인','F','20대',140
'2018-03-19','회원-내국인','M','20대',121
'2018-03-19','회원-내국인','F','30대',63
'2018-03-19','회원-내국인','M','30대',77
'2018-03-19','회원-내국인','F','40대',28
'2018-03-19','회원-내국인','M','40대',55
'2018-03-19','회원-내국인','F','50대',11
'2018-03-19','회원-내국인','M','50대',20
'2018-03-19','회원-내국인','F','60대',2
'2018-03-19','회원-내국인','M','60대',3
'2018-03-19','회원-내국인','M','70대~',1
'2018-03-20','회원-내국인','F','~10대',6
'2018-03-20','회원-내국인','M','~10대',9
'2018-03-20','회원-내국인','F','20대',143
'2018-03-20','회원-내국인','M','20대',108
'2018-03-20','회원-내국인','F','30대',47
'2018-03-20','회원-내국인','M','30대',88
'2018-03-20','회원-내국인','F','40대',36
'2018-03-20','회원-내국인','M','40대',69
'2018-03-20','회원-내국인','F','50대',13
'2018-03-20','회원-내국인','M','50대',30
'2018-03-20','회원-내국인','F','60대',3
'2018-03-20','회원-내국인','M','60대',10
'2018-03-20','회원-내국인','M','70대~',1
'2018-03-21','회원-내국인','F','~10대',3
'2018-03-21','회원-내국인','M','~10대',4
'2018-03-21','회원-내국인','F','20대',78
'2018-03-21','회원-내국인','M','20대',71
'2018-03-21','회원-내국인','F','30대',43
'2018-03-21','회원-내국인','M','30대',84
'2018-03-21','회원-내국인','F','40대',32
'2018-03-21','회원-내국인','M','40대',87
'2018-03-21','회원-내국인','F','50대',22
'2018-03-21','회원-내국인','M','50대',79
'2018-03-21','회원-내국인','F','60대',6
'2018-03-21','회원-내국인','M','60대',30
'2018-03-21','회원-내국인','F','70대~',1
'2018-03-21','회원-내국인','M','70대~',6
'2018-03-22','회원-내국인','F','~10대',11
'2018-03-22','회원-내국인','M','~10대',9
'2018-03-22','회원-내국인','F','20대',205
'2018-03-22','회원-내국인','M','20대',169
'2018-03-22','회원-내국인','F','30대',97
'2018-03-22','회원-내국인','M','30대',109
'2018-03-22','회원-내국인','F','40대',37
'2018-03-22','회원-내국인','M','40대',73
'2018-03-22','회원-내국인','F','50대',24
'2018-03-22','회원-내국인','M','50대',50
'2018-03-22','회원-내국인','F','60대',3
'2018-03-22','회원-내국인','M','60대',16
'2018-03-23','회원-내국인','F','~10대',13
'2018-03-23','회원-내국인','M','~10대',17
'2018-03-23','회원-내국인','F','20대',270
'2018-03-23','회원-내국인','M','20대',207
'2018-03-23','회원-내국인','F','30대',105
'2018-03-23','회원-내국인','M','30대',93
'2018-03-23','회원-내국인','F','40대',40
'2018-03-23','회원-내국인','M','40대',76
'2018-03-23','회원-내국인','F','50대',20
'2018-03-23','회원-내국인','M','50대',31
'2018-03-23','회원-내국인','F','60대',7
'2018-03-23','회원-내국인','M','60대',6
'2018-03-23','회원-내국인','F','70대~',2
'2018-03-23','회원-내국인','M','70대~',2
'2018-03-24','회원-내국인','F','~10대',28
'2018-03-24','회원-내국인','M','~10대',24
'2018-03-24','회원-내국인','F','20대',336
'2018-03-24','회원-내국인','M','20대',298
'2018-03-24','회원-내국인','F','30대',120
'2018-03-24','회원-내국인','M','30대',138
'2018-03-24','회원-내국인','F','40대',49
'2018-03-24','회원-내국인','M','40대',80
'2018-03-24','회원-내국인','F','50대',25
'2018-03-24','회원-내국인','M','50대',30
'2018-03-24','회원-내국인','F','60대',6
'2018-03-24','회원-내국인','M','60대',9
'2018-03-24','회원-내국인','M','70대~',1
'2018-03-25','회원-내국인','F','~10대',24
'2018-03-25','회원-내국인','M','~10대',24
'2018-03-25','회원-내국인','F','20대',391
'2018-03-25','회원-내국인','M','20대',380
'2018-03-25','회원-내국인','F','30대',124
'2018-03-25','회원-내국인','M','30대',151
'2018-03-25','회원-내국인','F','40대',62
'2018-03-25','회원-내국인','M','40대',78
'2018-03-25','회원-내국인','F','50대',31
'2018-03-25','회원-내국인','M','50대',47
'2018-03-25','회원-내국인','F','60대',11
'2018-03-25','회원-내국인','M','60대',12
'2018-03-25','회원-내국인','F','70대~',1
'2018-03-25','회원-내국인','M','70대~',4
'2018-03-26','회원-내국인','F','~10대',14
'2018-03-26','회원-내국인','M','~10대',15
'2018-03-26','회원-내국인','F','20대',199
'2018-03-26','회원-내국인','M','20대',186
'2018-03-26','회원-내국인','F','30대',70
'2018-03-26','회원-내국인','M','30대',118
'2018-03-26','회원-내국인','F','40대',29
'2018-03-26','회원-내국인','M','40대',64
'2018-03-26','회원-내국인','F','50대',19
'2018-03-26','회원-내국인','M','50대',29
'2018-03-26','회원-내국인','F','60대',4
'2018-03-26','회원-내국인','M','60대',8
'2018-03-26','회원-내국인','F','70대~',2
'2018-03-26','회원-내국인','M','70대~',1
'2018-03-27','회원-내국인','F','~10대',13
'2018-03-27','회원-내국인','M','~10대',14
'2018-03-27','회원-내국인','F','20대',209
'2018-03-27','회원-내국인','M','20대',182
'2018-03-27','회원-내국인','F','30대',63
'2018-03-27','회원-내국인','M','30대',83
'2018-03-27','회원-내국인','F','40대',34
'2018-03-27','회원-내국인','M','40대',63
'2018-03-27','회원-내국인','F','50대',24
'2018-03-27','회원-내국인','M','50대',37
'2018-03-27','회원-내국인','F','60대',4
'2018-03-27','회원-내국인','M','60대',5
'2018-03-27','회원-내국인','F','70대~',2
'2018-03-27','회원-내국인','M','70대~',3
'2018-03-28','회원-내국인','F','~10대',10
'2018-03-28','회원-내국인','M','~10대',11
'2018-03-28','회원-내국인','F','20대',307
'2018-03-28','회원-내국인','M','20대',238
'2018-03-28','회원-내국인','F','30대',95
'2018-03-28','회원-내국인','M','30대',102
'2018-03-28','회원-내국인','F','40대',45
'2018-03-28','회원-내국인','M','40대',71
'2018-03-28','회원-내국인','F','50대',15
'2018-03-28','회원-내국인','M','50대',53
'2018-03-28','회원-내국인','F','60대',6
'2018-03-28','회원-내국인','M','60대',12
'2018-03-28','회원-내국인','F','70대~',3
'2018-03-28','회원-내국인','M','70대~',3
'2018-03-29','회원-내국인','F','~10대',25
'2018-03-29','회원-내국인','M','~10대',15
'2018-03-29','회원-내국인','F','20대',350
'2018-03-29','회원-내국인','M','20대',326
'2018-03-29','회원-내국인','F','30대',82
'2018-03-29','회원-내국인','M','30대',117
'2018-03-29','회원-내국인','F','40대',36
'2018-03-29','회원-내국인','M','40대',70
'2018-03-29','회원-내국인','F','50대',18
'2018-03-29','회원-내국인','M','50대',34
'2018-03-29','회원-내국인','F','60대',5
'2018-03-29','회원-내국인','M','60대',5
'2018-03-29','회원-내국인','F','70대~',2
'2018-03-29','회원-내국인','M','70대~',1
'2018-03-30','회원-내국인','F','~10대',35
'2018-03-30','회원-내국인','M','~10대',34
'2018-03-30','회원-내국인','F','20대',528
'2018-03-30','회원-내국인','M','20대',412
'2018-03-30','회원-내국인','F','30대',134
'2018-03-30','회원-내국인','M','30대',182
'2018-03-30','회원-내국인','F','40대',49
'2018-03-30','회원-내국인','M','40대',102
'2018-03-30','회원-내국인','F','50대',29
'2018-03-30','회원-내국인','M','50대',30
'2018-03-30','회원-내국인','F','60대',4
'2018-03-30','회원-내국인','M','60대',10
'2018-03-30','회원-내국인','F','70대~',2
'2018-03-30','회원-내국인','M','70대~',3
'2018-03-31','회원-내국인','F','~10대',50
'2018-03-31','회원-내국인','M','~10대',32
'2018-03-31','회원-내국인','F','20대',855
'2018-03-31','회원-내국인','M','20대',662
'2018-03-31','회원-내국인','F','30대',246
'2018-03-31','회원-내국인','M','30대',328
'2018-03-31','회원-내국인','F','40대',108
'2018-03-31','회원-내국인','M','40대',134
'2018-03-31','회원-내국인','F','50대',53
'2018-03-31','회원-내국인','M','50대',57
'2018-03-31','회원-내국인','F','60대',9
'2018-03-31','회원-내국인','M','60대',15
'2018-03-31','회원-내국인','F','70대~',4
'2018-03-31','회원-내국인','M','70대~',3
'2018-04-01','회원-내국인','F','~10대',48
'2018-04-01','회원-내국인','M','~10대',44
'2018-04-01','회원-내국인','F','20대',706
'2018-04-01','회원-내국인','M','20대',619
'2018-04-01','회원-내국인','F','30대',234
'2018-04-01','회원-내국인','M','30대',285
'2018-04-01','회원-내국인','F','40대',110
'2018-04-01','회원-내국인','M','40대',144
'2018-04-01','회원-내국인','F','50대',45
'2018-04-01','회원-내국인','M','50대',63
'2018-04-01','회원-내국인','F','60대',4
'2018-04-01','회원-내국인','M','60대',15
'2018-04-01','회원-내국인','F','70대~',3
'2018-04-01','회원-내국인','M','70대~',4
'2018-04-02','회원-내국인','F','~10대',34
'2018-04-02','회원-내국인','M','~10대',28
